Land,Jahr,Betrag in Mio. Euro
Österreich,2000,4028.67
Österreich,2001,4393.09
Österreich,2002,4684.313
Österreich,2003,5041.98
Österreich,2004,5249.546
Österreich,2005,6029.81
Österreich,2006,6318.587
Österreich,2007,6867.815
Österreich,2008,7548.06
Österreich,2009,7479.745
Österreich,2010,8066.44
Österreich,2011,8276.335
Österreich,2012,9287.84
Österreich,2013,9571.282
Österreich,2014,10275.18
Österreich,2015,10499.146
Österreich,2016,11145.02
Österreich,2017,11289.781
Österreich,2018,11912.0
Österreich,2019,12441.232
Österreich,2020,12199.02
Österreich,2021,13225.489
Österreich,2022,14236.54
Österreich,2023,15580.4
Belgien,2000,4963.95
Belgien,2001,5373.378
Belgien,2002,5200.737
Belgien,2003,5177.444
Belgien,2004,5403.617
Belgien,2005,5551.553
Belgien,2006,5926.513
Belgien,2007,6356.931
Belgien,2008,6812.699
Belgien,2009,6924.591
Belgien,2010,7487.5
Belgien,2011,8171.0
Belgien,2012,8809.188
Belgien,2013,9156.953
Belgien,2014,9551.244
Belgien,2015,10118.2
Belgien,2016,10852.674
Belgien,2017,11867.981
Belgien,2018,13158.259
Belgien,2019,15109.898
Belgien,2020,15620.208
Belgien,2021,17235.425
Belgien,2022,18553.785
Belgien,2023,19817.608
Bulgarien,2000,71.502
Bulgarien,2001,71.111
Bulgarien,2002,81.227
Bulgarien,2003,88.769
Bulgarien,2004,99.319
Bulgarien,2005,106.423
Bulgarien,2006,121.196
Bulgarien,2007,139.609
Bulgarien,2008,166.61
Bulgarien,2009,184.61
Bulgarien,2010,215.57
Bulgarien,2011,219.637
Bulgarien,2012,253.695
Bulgarien,2013,266.736
Bulgarien,2014,339.927
Bulgarien,2015,434.838
Bulgarien,2016,375.434
Bulgarien,2017,388.707
Bulgarien,2018,423.818
Bulgarien,2019,512.39
Bulgarien,2020,523.464
Bulgarien,2021,549.138
Bulgarien,2022,647.119
Bulgarien,2023,750.328
Zypern,2000,24.516
Zypern,2001,27.491
Zypern,2002,33.793
Zypern,2003,40.975
Zypern,2004,46.782
Zypern,2005,55.235
Zypern,2006,62.364
Zypern,2007,70.376
Zypern,2008,73.365
Zypern,2009,82.988
Zypern,2010,86.198
Zypern,2011,89.883
Zypern,2012,85.322
Zypern,2013,87.469
Zypern,2014,89.521
Zypern,2015,85.286
Zypern,2016,98.815
Zypern,2017,110.214
Zypern,2018,133.097
Zypern,2019,164.435
Zypern,2020,184.764
Zypern,2021,199.497
Zypern,2022,207.015
Zypern,2023,213.5
Tschechien,2000,744.043
Tschechien,2001,831.778
Tschechien,2002,959.362
Tschechien,2003,1012.579
Tschechien,2004,1100.092
Tschechien,2005,1280.832
Tschechien,2006,1526.648
Tschechien,2007,1801.084
Tschechien,2008,1999.197
Tschechien,2009,1924.517
Tschechien,2010,2095.142
Tschechien,2011,2551.989
Tschechien,2012,2877.264
Tschechien,2013,2996.666
Tschechien,2014,3090.662
Tschechien,2015,3250.243
Tschechien,2016,2963.274
Tschechien,2017,3433.337
Tschechien,2018,4006.462
Tschechien,2019,4348.346
Tschechien,2020,4285.863
Tschechien,2021,4755.475
Tschechien,2022,5426.404
Tschechien,2023,5819.863
Deutschland,2000,50825.217
Deutschland,2001,52235.953
Deutschland,2002,53551.061
Deutschland,2003,54727.818
Deutschland,2004,55096.623
Deutschland,2005,55878.889
Deutschland,2006,58966.702
Deutschland,2007,61500.942
Deutschland,2008,66594.101
Deutschland,2009,67078.121
Deutschland,2010,70014.208
Deutschland,2011,75569.073
Deutschland,2012,79110.378
Deutschland,2013,79729.508
Deutschland,2014,84246.766
Deutschland,2015,88781.819
Deutschland,2016,92173.556
Deutschland,2017,99553.616
Deutschland,2018,104669.045
Deutschland,2019,110025.41
Deutschland,2020,106582.971
Deutschland,2021,113183.578
Deutschland,2022,121421.258
Deutschland,2023,129972.0
Dänemark,2000,3891.84
Dänemark,2001,4278.442
Dänemark,2002,4633.739
Dänemark,2003,4854.805
Dänemark,2004,4896.923
Dänemark,2005,5093.872
Dänemark,2006,5419.522
Dänemark,2007,5870.551
Dänemark,2008,6701.046
Dänemark,2009,7065.873
Dänemark,2010,7093.296
Dänemark,2011,7299.197
Dänemark,2012,7589.599
Dänemark,2013,7685.904
Dänemark,2014,7744.272
Dänemark,2015,8340.596
Dänemark,2016,8756.111
Dänemark,2017,8641.545
Dänemark,2018,8967.155
Dänemark,2019,9107.7
Dänemark,2020,9255.319
Dänemark,2021,9470.62
Dänemark,2022,10961.145
Dänemark,2023,11239.496
Estland,2000,37.03
Estland,2001,48.797
Estland,2002,55.699
Estland,2003,66.864
Estland,2004,82.702
Estland,2005,104.023
Estland,2006,150.991
Estland,2007,173.648
Estland,2008,208.039
Estland,2009,197.393
Estland,2010,232.76
Estland,2011,384.447
Estland,2012,380.695
Estland,2013,326.045
Estland,2014,286.736
Estland,2015,302.82
Estland,2016,270.34
Estland,2017,304.32
Estland,2018,365.64
Estland,2019,452.97
Estland,2020,480.89
Estland,2021,550.962
Estland,2022,641.737
Estland,2023,702.188
Griechenland,2000,0.0
Griechenland,2001,851.5
Griechenland,2002,0.0
Griechenland,2003,977.78
Griechenland,2004,1021.47
Griechenland,2005,1153.526
Griechenland,2006,1222.6
Griechenland,2007,1341.6
Griechenland,2008,1601.57
Griechenland,2009,1485.94
Griechenland,2010,1352.52
Griechenland,2011,1391.156
Griechenland,2012,1337.6
Griechenland,2013,1465.67
Griechenland,2014,1488.74
Griechenland,2015,1703.82
Griechenland,2016,1754.18
Griechenland,2017,2038.43
Griechenland,2018,2179.31
Griechenland,2019,2337.66
Griechenland,2020,2494.2
Griechenland,2021,2645.942
Griechenland,2022,3070.304
Griechenland,2023,3362.682
Spanien,2000,5718.99
Spanien,2001,6227.157
Spanien,2002,7193.538
Spanien,2003,8213.036
Spanien,2004,8945.761
Spanien,2005,10196.871
Spanien,2006,11815.218
Spanien,2007,13342.371
Spanien,2008,14701.393
Spanien,2009,14581.676
Spanien,2010,14588.455
Spanien,2011,14184.295
Spanien,2012,13391.607
Spanien,2013,13011.798
Spanien,2014,12820.756
Spanien,2015,13172.0
Spanien,2016,13260.0
Spanien,2017,14063.0
Spanien,2018,14946.0
Spanien,2019,15572.0
Spanien,2020,15768.0
Spanien,2021,17249.25
Spanien,2022,19324.755
Spanien,2023,22379.154
Finnland,2000,4422.61
Finnland,2001,4619.018
Finnland,2002,4830.365
Finnland,2003,5005.018
Finnland,2004,5253.417
Finnland,2005,5473.7
Finnland,2006,5761.196
Finnland,2007,6242.67
Finnland,2008,6871.092
Finnland,2009,6786.472
Finnland,2010,6971.301
Finnland,2011,7163.692
Finnland,2012,6831.888
Finnland,2013,6684.1
Finnland,2014,6512.1
Finnland,2015,6070.9
Finnland,2016,5926.1
Finnland,2017,6173.2
Finnland,2018,6437.7
Finnland,2019,6715.1
Finnland,2020,6932.7
Finnland,2021,7491.1
Finnland,2022,7936.14
Finnland,2023,8439.4
Frankreich,2000,30953.6
Frankreich,2001,32887.37
Frankreich,2002,34527.255
Frankreich,2003,34569.095
Frankreich,2004,35692.601
Frankreich,2005,36227.644
Frankreich,2006,37904.431
Frankreich,2007,39303.086
Frankreich,2008,41066.323
Frankreich,2009,42834.917
Frankreich,2010,43468.832
Frankreich,2011,45111.514
Frankreich,2012,46519.037
Frankreich,2013,47362.045
Frankreich,2014,47918.737
Frankreich,2015,48959.451
Frankreich,2016,49650.92
Frankreich,2017,50513.598
Frankreich,2018,51913.8
Frankreich,2019,53427.81
Frankreich,2020,52722.272
Frankreich,2021,55498.859
Frankreich,2022,58933.996
Frankreich,2023,61725.558
Kroatien,2000,0.0
Kroatien,2001,0.0
Kroatien,2002,270.606
Kroatien,2003,291.856
